Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,is_returned,return_probability,predicted_return
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,Clothing,411.59,3,Changed mind,Returned,387.0,58,Male,City54,Debit Card,Next-Day,45.27,1,0.529069076907638,1
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,Books,288.88,3,Wrong item,Returned,31.0,68,Female,City85,Credit Card,Express,47.79,1,0.5561044798564535,1
ORD00000002,PROD00000002,USER00000002,2023-05-06,,Toys,390.03,5,,Not Returned,,22,Female,City30,Debit Card,Next-Day,26.64,0,0.5053193114948287,1
ORD00000004,PROD00000004,USER00000004,2023-01-16,,Books,110.09,4,,Not Returned,,34,Female,City80,Gift Card,Standard,16.37,0,0.5240588226109043,1
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,Electronics,252.12,1,Defective,Returned,221.0,46,Female,City47,Debit Card,Next-Day,47.61,1,0.5316776914662739,1
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,Clothing,382.89,2,Wrong item,Returned,66.0,25,Male,City50,Credit Card,Express,28.49,1,0.5314696762376486,1
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,Electronics,306.39,3,Not as described,Returned,539.0,67,Female,City39,Credit Card,Express,38.91,1,0.5179020027723741,1
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,Clothing,294.94,3,Not as described,Returned,317.0,44,Male,City82,Credit Card,Standard,45.21,1,0.5508115025028983,1
ORD00000013,PROD00000013,USER00000013,2023-07-22,,Electronics,198.78,2,,Not Returned,,51,Male,City85,PayPal,Next-Day,36.58,0,0.5147883968303192,1
ORD00000014,PROD00000014,USER00000014,2024-09-01,,Electronics,146.37,4,,Not Returned,,45,Male,City9,PayPal,Next-Day,28.23,0,0.5164527688505512,1
ORD00000015,PROD00000015,USER00000015,2024-10-02,2023-12-04,Electronics,370.08,2,Wrong item,Returned,-303.0,24,Female,City27,Credit Card,Standard,23.99,1,0.5074844145776374,1
ORD00000019,PROD00000019,USER00000019,2024-07-06,2024-05-01,Electronics,227.94,5,Changed mind,Returned,-66.0,50,Female,City64,Debit Card,Express,43.86,1,0.5455340131053917,1
ORD00000020,PROD00000020,USER00000020,2023-07-03,,Clothing,6.14,1,,Not Returned,,31,Female,City70,Credit Card,Next-Day,47.47,0,0.5690859433980893,1
ORD00000021,PROD00000021,USER00000021,2024-02-28,2023-01-06,Books,85.69,2,Changed mind,Returned,-418.0,30,Female,City26,Debit Card,Standard,24.58,1,0.5258640170598102,1
ORD00000022,PROD00000022,USER00000022,2024-07-13,2023-09-13,Books,227.2,5,Wrong item,Returned,-304.0,65,Female,City90,Gift Card,Next-Day,27.94,1,0.5256586456966831,1
ORD00000023,PROD00000023,USER00000023,2024-07-01,2024-01-24,Electronics,57.14,2,Wrong item,Returned,-159.0,41,Female,City28,Gift Card,Standard,43.06,1,0.5264321839929434,1
ORD00000026,PROD00000026,USER00000026,2023-03-05,,Toys,232.97,5,,Not Returned,,21,Female,City98,Debit Card,Express,9.85,0,0.5070897253069702,1
ORD00000030,PROD00000030,USER00000030,2023-05-02,,Toys,413.34,3,,Not Returned,,49,Male,City55,Credit Card,Standard,38.29,0,0.5041717263838484,1
